delivery_id,datetime,duration_minutes,weather,traffic,latitude,longitude,geometry
1,2024-01-21 17:19:00,15,Clear,Moderate,37.7987181587123,-122.51683658560643,POINT (-122.51683658560643 37.7987181587123)
2,2024-01-20 13:58:00,22,Clear,Moderate,37.68227264938753,-122.38642599489081,POINT (-122.38642599489081 37.68227264938753)
3,2024-01-30 17:31:00,11,Clear,Light,37.67718540913867,-122.49151135324102,POINT (-122.49151135324102 37.67718540913867)
4,2024-01-11 14:22:00,33,Cloudy,Light,37.845155400718944,-122.50055189443634,POINT (-122.50055189443634 37.845155400718944)
5,2024-01-08 19:27:00,22,Clear,Light,37.71729509134793,-122.5131152162978,POINT (-122.5131152162978 37.71729509134793)
6,2024-01-14 20:13:00,29,Clear,Light,37.7921486975132,-122.43048605390588,POINT (-122.43048605390588 37.7921486975132)
7,2024-01-06 18:16:00,35,Cloudy,Light,37.862710575731775,-122.38442113818195,POINT (-122.38442113818195 37.862710575731775)
8,2024-01-06 11:46:00,36,Clear,Moderate,37.770002514800105,-122.32140897909353,POINT (-122.32140897909353 37.770002514800105)
9,2024-01-19 12:48:00,23,Clear,Light,37.86285390407238,-122.35598217231178,POINT (-122.35598217231178 37.86285390407238)
10,2024-01-26 09:35:00,35,Clear,Heavy,37.831390467234186,-122.38637825459283,POINT (-122.38637825459283 37.831390467234186)
11,2024-01-01 14:34:00,37,Cloudy,Light,37.68416264157148,-122.49400678185854,POINT (-122.49400678185854 37.68416264157148)
12,2024-01-09 20:55:00,31,Cloudy,Moderate,37.71025316373731,-122.37440227914796,POINT (-122.37440227914796 37.71025316373731)
13,2024-01-10 16:14:00,25,Cloudy,Light,37.79093011882106,-122.36633608301051,POINT (-122.36633608301051 37.79093011882106)
14,2024-01-08 17:59:00,24,Clear,Moderate,37.71209964693248,-122.38692298156421,POINT (-122.38692298156421 37.71209964693248)
15,2024-01-08 09:45:00,8,Clear,Moderate,37.76922885876793,-122.37500615408409,POINT (-122.37500615408409 37.76922885876793)
16,2024-01-30 13:00:00,23,Rainy,Moderate,37.798978172167516,-122.49974060631169,POINT (-122.49974060631169 37.798978172167516)
17,2024-01-15 16:09:00,39,Rainy,Heavy,37.73189144737686,-122.32701554530688,POINT (-122.32701554530688 37.73189144737686)
18,2024-01-20 18:58:00,38,Cloudy,Light,37.78472156424396,-122.3301438881257,POINT (-122.3301438881257 37.78472156424396)
19,2024-01-21 18:55:00,16,Cloudy,Heavy,37.79942019891222,-122.51527319875241,POINT (-122.51527319875241 37.79942019891222)
20,2024-01-28 10:51:00,22,Cloudy,Heavy,37.67711615350207,-122.47692060607896,POINT (-122.47692060607896 37.67711615350207)
21,2024-01-23 17:45:00,42,Cloudy,Moderate,37.699716138544225,-122.45386249026055,POINT (-122.45386249026055 37.699716138544225)
